Date,0,1,2,3
1958-08-24,535,17314,13745,18087
1958-11-12,536,8172,14329,8934
1958-12-16,537,21551,24614,6645
1959-03-07,538,20794,6103,25825
1959-05-02,539,23622,22514,19213
1959-12-30,540,2907,3232,26624
1960-02-05,541,20235,23006,29925
1960-05-17,542,5259,13156,28618
1961-06-20,543,29352,14492,22475
1961-08-19,544,26510,23840,10403
1961-11-19,545,28205,8570,290
1962-01-01,546,18636,27385,13172
1962-04-25,547,231,8343,27399
1962-05-03,548,12541,24254,19851
1962-08-12,549,3860,23735,16391
1962-11-13,550,7641,27244,7415
1963-01-11,551,13998,5954,3350
1963-11-05,552,23738,24165,12203
1963-12-08,553,10645,7668,28893
1964-06-01,554,10099,10529,14969
1964-11-13,555,25166,29612,26888
1964-11-17,556,24319,27200,9448
1965-03-29,557,6674,28522,27803
1965-08-14,558,222,16317,6770
1965-08-24,559,14515,13162,19535
1965-11-02,560,16468,7846,27560
1965-11-25,561,7715,2827,8934
1966-01-13,562,29379,4940,23408
1966-08-16,563,17914,19841,21753
1967-07-27,564,12139,29860,5865
1969-03-02,565,16139,14121,1276
1969-06-09,566,25544,19053,18623
1970-06-20,567,3933,1287,6324
1970-08-04,568,7321,5128,11965
1970-11-23,569,1873,19403,19485
1971-05-21,570,22631,17987,23105
1971-07-13,571,18870,14756,14909
1971-07-27,572,23318,3504,11459
1972-01-19,573,2131,19848,17502
1972-05-31,574,1329,17490,1958
1972-12-19,575,17295,2131,15186
1973-05-11,576,13741,6998,13053
1973-06-04,577,12562,11149,4508
1974-07-03,578,25289,24224,14644
1975-01-31,579,12533,17999,12678
1976-10-15,580,6872,13804,12197
1977-09-26,581,5325,9457,27067
1978-09-16,582,12757,10298,27580
1979-07-15,583,20779,3209,14927
1981-06-12,584,28340,28802,7513
1982-08-16,585,29321,22838,29264
1982-08-20,586,3180,6017,10192
1983-02-02,587,7292,23006,7304
1984-01-25,588,28542,4658,9505
1984-04-11,589,22261,22862,15914
1985-07-26,590,19585,19171,7231
1986-03-19,591,22008,17934,4490
1986-05-06,592,10095,23928,2812
1987-03-27,593,25005,501,2235
1987-06-25,594,21983,13670,15386
1987-11-01,595,13795,283,21128
1988-01-23,596,23469,15855,1709
1988-11-18,597,13751,7031,13288
1988-11-29,598,7987,14390,26241
1988-12-09,599,8289,2492,16134
1989-05-09,600,3452,23429,28887
1989-10-22,601,26522,15961,5098
1990-05-30,602,28502,25540,19174
1990-09-26,603,3298,29854,28621
1990-11-10,604,10277,25646,1459
1991-05-04,605,16148,26339,28591
1992-03-20,606,23135,17019,26918
1992-05-18,607,21259,293,16530
1993-01-27,608,25596,26624,22798
1993-06-02,609,1977,19320,11656
1995-11-03,610,16714,11612,19570
1996-06-12,611,29097,6692,25267
1996-06-21,612,12575,10282,9424
1996-12-28,613,9670,18044,20548
1998-04-21,614,3118,21055,21857
1998-11-04,615,16872,15626,21895
1999-08-17,616,4857,2185,7191
1999-09-12,617,5025,28399,20854
1999-09-23,618,14242,7349,26340
1999-12-30,619,20202,23957,8367
2000-06-08,620,6639,21559,13447
2002-08-10,621,3877,1832,15300
2003-03-28,622,18639,21270,2667
2003-08-03,623,28212,23703,656
2004-02-03,624,5867,15677,9866
2004-02-22,625,7981,27658,25068
2004-03-29,626,5292,29948,2214
2004-08-31,627,12079,1228,2346
2005-06-02,628,8985,23368,20311
2005-06-30,629,25037,3720,29625
2006-02-20,630,9324,11642,1614
2006-06-23,631,11044,13299,14314
2006-07-08,632,15197,11759,26080
2007-03-02,633,11460,7386,2271
2007-03-23,634,7213,3225,13127
2008-01-05,635,26371,8301,18564
2008-02-09,636,20015,27791,7288
2009-01-29,637,20156,25968,17974
2010-03-23,638,17874,7148,11647
2011-03-04,639,13110,15546,27513
2011-06-27,640,5439,17731,13341
2011-11-21,641,1886,20714,28031
2012-05-04,642,16148,15048,10299
2013-05-01,643,13720,1136,1198
2013-05-06,644,9480,27370,3516
2013-08-28,645,6842,10928,7132
2014-03-09,646,4446,6773,6610
2014-05-07,647,4251,27116,19596
2014-08-16,648,4486,15752,26143
2015-08-29,649,23728,22197,22424
2016-04-06,650,15559,9812,16422
2017-03-18,651,26559,19702,6774
2017-06-23,652,23413,1351,15969
2018-03-12,653,16824,8935,25834
2018-06-20,654,18583,11314,23312
2019-02-10,655,11203,1274,26093
2019-07-03,656,7369,28805,623
2019-07-18,657,11082,7992,4929
2020-07-30,658,27186,21057,15565
2021-10-16,659,23240,26686,6250
2022-10-16,660,11109,3491,11259
1940-04-23,661,12378,16028,17279
1941-09-25,662,21052,5301,11472
1942-01-19,663,19829,29515,833
1943-03-09,664,24598,25516,2470
1943-09-27,665,5380,23423,9974
1943-11-13,666,15592,7932,8668
1943-11-20,667,956,12358,10128
1943-11-29,668,16946,16230,25370
1944-06-01,669,14025,10947,23597
1944-11-30,670,4473,3012,15404
1945-04-20,671,11804,21161,25251
1945-05-05,672,23332,14145,14554
1945-07-20,673,26215,12388,14185
1945-10-11,674,20309,20930,8855
1946-06-20,675,15221,28096,6506
1947-04-03,676,19521,10167,25486
1947-11-02,677,23371,25059,8662
1948-07-04,678,17839,23979,1719
1948-11-05,679,13560,12122,5656
1949-03-31,680,3097,17872,18959
1950-02-20,681,24601,14587,20094
1950-12-19,682,12298,25447,4301
1951-06-22,683,15100,27170,18042
1951-10-07,684,4569,13423,14116
1952-04-26,685,24985,2318,3819
1952-05-28,686,15737,928,17489
1952-08-08,687,20466,25755,29844
1952-11-08,688,28909,24285,13766
1953-01-10,689,2270,23996,27175
1953-03-01,690,19303,2342,26132
1953-05-16,691,22373,280,20345
1953-07-26,692,20419,13114,6384
1953-11-13,693,9406,25505,11390
1954-02-05,694,10277,23755,2079
1954-04-12,695,15950,23987,29846
1954-04-28,696,29373,19325,7084
1954-08-19,697,16512,1906,9924
1954-10-22,698,27464,5189,17638
1955-05-15,699,13484,25668,10896
1955-10-29,700,1678,4220,26935
